annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
CholMucus	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CholMucus', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4047056	large mucus secreting cholangiocyte	FALSE
Fibroblast	CL:0000057	fibroblast	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Fibroblast', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Hepato	CL:0000182	hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Hepato', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte	TRUE
Hepato--Mac	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Hepato--Mac', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
I-Hepato	CL:0019028	midzonal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'I-Hepato', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000182	hepatocyte	FALSE
Kupffer	CL:0000091	Kupffer cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Kupffer', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000091	Kupffer cell	TRUE
Kupffer--LSEC-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Kupffer--LSEC-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000091	Kupffer cell	FALSE
LAM-like	CL:0000235	macrophage	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'LAM-like', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4033086	lipid-associated macrophage	FALSE
MAST	CL:0000097	mast cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'MAST', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000097	mast cell	TRUE
MHCII	CL:0000235	macrophage	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'MHCII', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000145	professional antigen presenting cell	FALSE
Mac--B-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Mac--B-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
Mac--Fibro-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Mac--Fibro-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
MatB	CL:0000785	mature B cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'MatB', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000785	mature B cell	TRUE
MatB--CD4T-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'MatB--CD4T-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	FALSE
MatB--RBC	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'MatB--RBC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000232	erythrocyte	FALSE
Monocyte	CL:0000576	monocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Monocyte', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000576	monocyte	TRUE
NKT	CL:0000623	natural killer cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'NKT', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000814	mature NK T cell	FALSE
NKT--Mac-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'NKT--Mac-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
Neutrophil	CL:0000775	neutrophil	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Neutrophil', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000775	neutrophil	TRUE
P-Hepato	CL:0019026	periportal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'P-Hepato', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000182	hepatocyte	FALSE
P-Hepato2	CL:0019026	periportal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'P-Hepato2', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte	FALSE
Prolif	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Prolif', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
RBC	CL:0000232	erythrocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'RBC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000232	erythrocyte	TRUE
Stellate	CL:0000632	hepatic stellate cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Stellate', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
Tcell	CL:0000084	T cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Tcell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000084	T cell	TRUE
cDC	CL:0000990	conventional dendritic cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'cDC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000990	conventional dendritic cell	TRUE
cNK	CL:0000623	natural killer cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'cNK', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000623	natural killer cell	TRUE
cNK--RBC-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'cNK--RBC-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
cvEndo	CL:0002543	vein endothelial cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'cvEndo', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	FALSE
cvLSEC	CL:0019022	endothelial cell of pericentral hepatic sinusoid	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'cvLSEC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0019022	endothelial cell of pericentral hepatic sinusoid	TRUE
cvLSEC--T-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'cvLSEC--T-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
lrNK	CL:2000054	hepatic pit cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'lrNK', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4047101	liver-resident natural killer cell	FALSE
pDC	CL:0000784	plasmacytoid dendritic cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'pDC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000784	plasmacytoid dendritic cell	TRUE
ppLSEC	CL:0019021	endothelial cell of periportal hepatic sinusoid	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'ppLSEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0019021	endothelial cell of periportal hepatic sinusoid	TRUE
