annotation_text	cl_id	cl_label	article_id_pmc	enrichment	grounding_cl_id	grounding_cl_label	result
Muller glia	CL:0000636	Mueller cell	10530494	{'name': 'Muller glia', 'full_name': 'Müller glia', 'paper_synonyms': 'Müller cells; MGs', 'tissue_context': 'mammalian retina; inner nuclear layer (INL); foveal (F) retina; peripheral (P) retina'}	CL:0000636	Mueller cell	TRUE
NK/T cells	CL:0000814	mature NK T cell	10292890	{'name': 'NK/T cells', 'full_name': 'natural killer/T cells', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000814	mature NK T cell	TRUE
endothelial cells	CL:0000115	endothelial cell	10292890	{'name': 'endothelial cells', 'full_name': 'endothelial cells', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000115	endothelial cell	TRUE
plasma cells	CL:0000786	plasma cell	10292890	{'name': 'plasma cells', 'full_name': 'plasma cells', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000786	plasma cell	TRUE
osteoblastic cells	CL:0000062	osteoblast	10292890	{'name': 'osteoblastic cells', 'full_name': 'osteoblastic cells', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000062	osteoblast	TRUE
osteoclasts	CL:0000092	osteoclast	10292890	{'name': 'osteoclasts', 'full_name': 'osteoclasts', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000092	osteoclast	TRUE
B cells	CL:0000236	B cell	10292890	{'name': 'B cells', 'full_name': 'B cells', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000236	B cell	TRUE
monocytes	CL:0000576	monocyte	10292890	{'name': 'monocytes', 'full_name': 'monocytes', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000576	monocyte	TRUE
mast cells	CL:0000097	mast cell	10292890	{'name': 'mast cells', 'full_name': 'mast cells', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000097	mast cell	TRUE
myeloid cells	CL:0000763	myeloid cell	10292890	{'name': 'myeloid cells', 'full_name': 'myeloid cells', 'paper_synonyms': None, 'tissue_context': 'osteosarcoma; tumor microenvironment (TME)'}	CL:0000763	myeloid cell	TRUE
MSG acinar, ductal, myoepithelial, and adipose cells	CL:0002623	acinar cell of salivary gland	10626587	{'name': 'MSG acinar, ductal, myoepithelial, and adipose cells', 'full_name': 'minor salivary gland acinar, ductal, myoepithelial, and adipose cells', 'paper_synonyms': 'MSG', 'tissue_context': 'minor salivary gland (MSG) tissue'}	NO MATCH found		FALSE
Macrophages	CL:0000235	macrophage	10656691	{'name': 'Macrophages', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'peripheral blood mononuclear cells (PBMCs); labial salivary gland biopsy tissues; minor salivary gland tissues; salivary glands; perivascular; ducts; acini'}	CL:0000235	macrophage	TRUE
embryonic haematopoietic progenitors	CL:0002352	gestational hematopoietic stem cell	10656691	{'name': 'embryonic haematopoietic progenitors', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000837	hematopoietic multipotent progenitor cell	FALSE
monocytes	CL:0000576	monocyte	10656691	{'name': 'monocytes', 'full_name': None, 'paper_synonyms': 'peripheral blood monocytes; human blood monocytes', 'tissue_context': 'peripheral blood mononuclear cells (PBMCs); blood'}	CL:0000576	monocyte	TRUE
tissue macrophages	CL:0000864	tissue-resident macrophage	10656691	{'name': 'tissue macrophages', 'full_name': None, 'paper_synonyms': 'tissue-resident macrophages; resident macrophages', 'tissue_context': 'labial salivary gland (LSG); minor salivary gland tissues; salivary glands; perivascular; ducts; acini; damaged tissues'}	CL:0000864	tissue-resident macrophage	TRUE
T cells	CL:0000084	T cell	10656691	{'name': 'T cells', 'full_name': None, 'paper_synonyms': 'T-lymphocytes', 'tissue_context': 'peripheral blood mononuclear cells (PBMCs); LSG tissues; ducts'}	CL:0000084	T cell	TRUE
epithelial cells	CL:0000066	epithelial cell	10656691	{'name': 'epithelial cells', 'full_name': None, 'paper_synonyms': 'salivary gland epithelium; ductal epithelium', 'tissue_context': 'salivary glands; LSG tissues; minor salivary gland tissues; ducts; acini; ductal cells'}	CL:0000066	epithelial cell	TRUE
MSCs	CL:0000134	mesenchymal stem cell	10023793	{'name': 'MSCs', 'full_name': 'mesenchymal stem/stromal cells', 'paper_synonyms': 'mesenchymal stem cells; mesenchymal stromal cells', 'tissue_context': 'bone marrow'}	CL:0002540	mesenchymal stem cell of the bone marrow	FALSE
MSC	CL:0000134	mesenchymal stem cell	10023793	{'name': 'MSC', 'full_name': 'mesenchymal stem/stromal cell', 'paper_synonyms': 'mesenchymal stem/stromal cells; mesenchymal stem cells; mesenchymal stromal cells', 'tissue_context': 'bone marrow'}	CL:0000134	mesenchymal stem cell	TRUE
cBMSCs	CL:0010001	stromal cell of bone marrow	10023793	{'name': 'cBMSCs', 'full_name': 'clonal bone marrow stem (stromal) cells', 'paper_synonyms': 'clonal human bone marrow MSCs; clonal BMSCs', 'tissue_context': 'bone marrow'}	CL:0002540	mesenchymal stem cell of the bone marrow	FALSE
Treg cells	CL:0000815	regulatory T cell	10367549	{'name': 'Treg cells', 'full_name': 'Regulatory T cells', 'paper_synonyms': 'Tregs; FOXP3+ Treg cells; CD4+CD25+CD127lowTreg', 'tissue_context': 'prostate transition zone tissues; prostatic transitional zone tissue'}	CL:0000815	regulatory T cell	TRUE
Treg	CL:0000815	regulatory T cell	10367549	{'name': 'Treg', 'full_name': 'Regulatory T cells', 'paper_synonyms': 'Tregs; Treg cells; FOXP3+ Treg cells; CD4+CD25+CD127lowTreg', 'tissue_context': 'prostate transition zone tissues; prostatic transitional zone tissue'}	CL:0000815	regulatory T cell	TRUE
Inactive Treg cells	CL:0000815	regulatory T cell	10367549	{'name': 'Inactive Treg cells', 'full_name': 'Inactive regulatory T cells', 'paper_synonyms': 'Tregs; Treg cells', 'tissue_context': 'peripheral blood; small prostate'}	CL:0000815	regulatory T cell	TRUE
oocytes	CL:0000023	oocyte	10507249	{'name': 'oocytes', 'full_name': 'oocytes', 'paper_synonyms': None, 'tissue_context': 'mouse ovarian sections; primary-to-early antral follicles'}	CL:0000023	oocyte	TRUE
oocyte	CL:0000023	oocyte	10507249	{'name': 'oocyte', 'full_name': 'oocyte', 'paper_synonyms': None, 'tissue_context': 'mouse ovarian sections; primary-to-early antral follicles'}	CL:0000023	oocyte	TRUE
T cells	CL:0000084	T cell	10068448	{'name': 'T cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'PDAC tumor tissue; peripheral blood'}	CL:0000084	T cell	TRUE
CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	10068448	{'name': 'CD4+ T cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'PDAC tumor tissue; PBMC; TIL'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CCR6+CD161+ Th17	CL:0000899	T-helper 17 cell	10068448	{'name': 'CCR6+CD161+ Th17', 'full_name': 'CCR6 + CD161 + Th17 phenotype', 'paper_synonyms': None, 'tissue_context': 'PDAC tumors; TIL; PBMC'}	CL:0000899	T-helper 17 cell	TRUE
activated regulatory T-cell	CL:0000902	induced T-regulatory cell	10068448	{'name': 'activated regulatory T-cell', 'full_name': None, 'paper_synonyms': 'Treg', 'tissue_context': 'PDAC tumors; PBMC; TIL'}	CL:0000815	regulatory T cell	FALSE
T-cell	CL:0000084	T cell	10068448	{'name': 'T-cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'PDAC tumor tissue; peripheral blood'}	CL:0000084	T cell	TRUE
cardiomyocytes	CL:0000746	cardiac muscle cell	10150206	{'name': 'cardiomyocytes', 'full_name': 'cardiomyocytes', 'paper_synonyms': 'CMs', 'tissue_context': 'human atria'}	CL:0000746	cardiac muscle cell	TRUE
pluripotent stem cells	CL:0002248	pluripotent stem cell	10150206	{'name': 'pluripotent stem cells', 'full_name': 'pluripotent stem cells', 'paper_synonyms': 'PSCs; iPSCs; hiPSCs; human-induced pluripotent stem cells; hESC; human embryonic stem cell', 'tissue_context': 'cord blood'}	CL:0002248	pluripotent stem cell	TRUE
monocyte	CL:0000576	monocyte	10155691	{'name': 'monocyte', 'full_name': 'monocyte', 'paper_synonyms': '', 'tissue_context': 'PBMCs; blood cell populations'}	CL:0000576	monocyte	TRUE
myeloid cell	CL:0000763	myeloid cell	10155691	{'name': 'myeloid cell', 'full_name': 'myeloid cell', 'paper_synonyms': '', 'tissue_context': 'PBMCs'}	CL:0000763	myeloid cell	TRUE
macrophage	CL:0000235	macrophage	10155691	{'name': 'macrophage', 'full_name': 'macrophage', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000235	macrophage	TRUE
oocytes	CL:0000023	oocyte	10029192	{'name': 'oocytes', 'full_name': 'oocytes', 'paper_synonyms': None, 'tissue_context': 'human oocytes'}	CL:0000023	oocyte	TRUE
ovarian granulosa cells	CL:0000501	granulosa cell	10029192	{'name': 'ovarian granulosa cells', 'full_name': 'ovarian granulosa cells', 'paper_synonyms': None, 'tissue_context': 'human ovarian granulosa cells'}	CL:0000501	granulosa cell	TRUE
ILCs	CL:0001065	innate lymphoid cell	10600214	{'name': 'ILCs', 'full_name': 'innate lymphoid cells', 'paper_synonyms': None, 'tissue_context': 'intestinal epithelial cells from healthy colon; colonic tissue biopsies'}	CL:0001065	innate lymphoid cell	TRUE
oligodendrocytes	CL:0000128	oligodendrocyte	10482700	{'name': 'oligodendrocytes', 'full_name': 'oligodendrocytes', 'paper_synonyms': 'Oligodendrocyte; OL', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000128	oligodendrocyte	TRUE
AST	CL:0000127	astrocyte	10482700	{'name': 'AST', 'full_name': 'Astrocytes', 'paper_synonyms': 'Astrocytes', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000127	astrocyte	TRUE
Astrocytes	CL:0000127	astrocyte	10482700	{'name': 'Astrocytes', 'full_name': 'Astrocytes', 'paper_synonyms': 'AST', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000127	astrocyte	TRUE
BG	CL:0000644	Bergmann glial cell	10482700	{'name': 'BG', 'full_name': 'Bergman Glia', 'paper_synonyms': 'Bergman Glia', 'tissue_context': 'human cerebellum'}	CL:0000644	Bergmann glial cell	TRUE
Bergman Glia	CL:0000644	Bergmann glial cell	10482700	{'name': 'Bergman Glia', 'full_name': 'Bergman Glia', 'paper_synonyms': 'BG', 'tissue_context': 'human cerebellum'}	CL:0000644	Bergmann glial cell	TRUE
CGE	CL:4042039	caudal ganglionic eminence derived neuron	10482700	{'name': 'CGE', 'full_name': 'Caudal Ganglionic Eminence', 'paper_synonyms': 'Caudal Ganglionic Eminence', 'tissue_context': 'cerebral cortex; mouse cortex; human motor cortex'}	NO MATCH found		FALSE
Caudal Ganglionic Eminescence	CL:4042039	caudal ganglionic eminence derived neuron	10482700	{'name': 'Caudal Ganglionic Eminescence', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
ENDO	CL:0000115	endothelial cell	10482700	{'name': 'ENDO', 'full_name': 'Endothelial cells', 'paper_synonyms': 'Endothelial cells', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000115	endothelial cell	TRUE
Endothelial cells	CL:0000115	endothelial cell	10482700	{'name': 'Endothelial cells', 'full_name': 'Endothelial cells', 'paper_synonyms': 'ENDO', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000115	endothelial cell	TRUE
GC	CL:0000120	granule cell	10482700	{'name': 'GC', 'full_name': 'Granule Cell', 'paper_synonyms': 'Granule Cell', 'tissue_context': 'human cerebellum'}	CL:0001031	cerebellar granule cell	FALSE
Granule Cell	CL:0000120	granule cell	10482700	{'name': 'Granule Cell', 'full_name': 'Granule Cell', 'paper_synonyms': 'GC', 'tissue_context': 'human cerebellum'}	CL:0001031	cerebellar granule cell	FALSE
GP	CL:0002362	cerebellar granule cell precursor	10482700	{'name': 'GP', 'full_name': 'Granule cell Progenitor', 'paper_synonyms': 'Granule cell Progenitor', 'tissue_context': 'human cerebellum'}	CL:0002362	cerebellar granule cell precursor	TRUE
Granule cell Progenitor	CL:0002362	cerebellar granule cell precursor	10482700	{'name': 'Granule cell Progenitor', 'full_name': 'Granule cell Progenitor', 'paper_synonyms': 'GP', 'tissue_context': 'human cerebellum'}	CL:0002362	cerebellar granule cell precursor	TRUE
MGE	CL:4023063	medial ganglionic eminence derived interneuron	10482700	{'name': 'MGE', 'full_name': 'Medial Ganglionic Eminence', 'paper_synonyms': 'Medial Ganglionic Eminence', 'tissue_context': 'cerebral cortex; mouse cortex; human motor cortex'}	CL:4023069	medial ganglionic eminence derived GABAergic cortical interneuron	FALSE
Medial Ganglionic Eminescence	CL:4023063	medial ganglionic eminence derived interneuron	10482700	{'name': 'Medial Ganglionic Eminescence', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4023063	medial ganglionic eminence derived interneuron	TRUE
MGL	CL:0000129	microglial cell	10482700	{'name': 'MGL', 'full_name': 'Microglia', 'paper_synonyms': 'Microglia', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000129	microglial cell	TRUE
Microglia	CL:0000129	microglial cell	10482700	{'name': 'Microglia', 'full_name': 'Microglia', 'paper_synonyms': 'MGL', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000129	microglial cell	TRUE
MG	CL:0000636	Mueller cell	10482700	{'name': 'MG', 'full_name': 'Muller Glia', 'paper_synonyms': 'Muller Glia', 'tissue_context': 'human cerebellum'}	CL:0000636	Mueller cell	TRUE
Muller Glia	CL:0000636	Mueller cell	10482700	{'name': 'Muller Glia', 'full_name': 'Muller Glia', 'paper_synonyms': 'MG', 'tissue_context': 'human cerebellum'}	CL:0000636	Mueller cell	TRUE
OL	CL:0000128	oligodendrocyte	10482700	{'name': 'OL', 'full_name': 'Oligodendrocyte', 'paper_synonyms': 'Oligodendrocyte', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000128	oligodendrocyte	TRUE
Oligodendrocyte	CL:0000128	oligodendrocyte	10482700	{'name': 'Oligodendrocyte', 'full_name': 'Oligodendrocyte', 'paper_synonyms': 'OL', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0000128	oligodendrocyte	TRUE
OPC	CL:0002453	oligodendrocyte precursor cell	10482700	{'name': 'OPC', 'full_name': 'Oligodendrocyte Precursor Cells', 'paper_synonyms': 'Oligodendrocyte Precursor Cells; OPCs', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0002453	oligodendrocyte precursor cell	TRUE
Oligodendrocyte Precursor Cells	CL:0002453	oligodendrocyte precursor cell	10482700	{'name': 'Oligodendrocyte Precursor Cells', 'full_name': 'Oligodendrocyte Precursor Cells', 'paper_synonyms': 'OPC; OPCs', 'tissue_context': 'mouse cortex; human motor cortex; human cerebellum'}	CL:0002453	oligodendrocyte precursor cell	TRUE
PURK	CL:0000121	Purkinje cell	10482700	{'name': 'PURK', 'full_name': 'Purkinje cells', 'paper_synonyms': 'Purkinje cells', 'tissue_context': 'human cerebellum'}	CL:0000121	Purkinje cell	TRUE
Purkinje cells	CL:0000121	Purkinje cell	10482700	{'name': 'Purkinje cells', 'full_name': 'Purkinje cells', 'paper_synonyms': 'PURK', 'tissue_context': 'human cerebellum'}	CL:0000121	Purkinje cell	TRUE
MDSC	CL:0000889	myeloid suppressor cell	10332263	{'name': 'MDSC', 'full_name': 'Myeloid-Derived Suppressor Cells', 'paper_synonyms': 'myeloid-derived suppressor cells', 'tissue_context': 'melanoma TME; patient melanoma specimens'}	CL:0000889	myeloid suppressor cell	TRUE
Myeloid-Derived Suppressor Cells	CL:0000889	myeloid suppressor cell	10332263	{'name': 'Myeloid-Derived Suppressor Cells', 'full_name': 'Myeloid-Derived Suppressor Cells', 'paper_synonyms': 'MDSC', 'tissue_context': 'melanoma TME; patient melanoma specimens'}	CL:0000889	myeloid suppressor cell	TRUE
B-cell	CL:0000236	B cell	10166697	{'name': 'B-cell', 'full_name': 'B cells', 'paper_synonyms': None, 'tissue_context': 'blood'}	CL:0000236	B cell	TRUE
T cells	CL:0000084	T cell	10166697	{'name': 'T cells', 'full_name': 'T cells', 'paper_synonyms': None, 'tissue_context': 'blood; tonsil'}	CL:0000084	T cell	TRUE
small-intestine epithelial cells	CL:0002254	epithelial cell of small intestine	10290983	{'name': 'small-intestine epithelial cells', 'full_name': 'small-intestine epithelial cells', 'paper_synonyms': None, 'tissue_context': 'small-intestine tissues; intestinal tissue; bottom of intestinal crypts'}	CL:0002254	epithelial cell of small intestine	TRUE
pit cells	CL:0000352	epiblast cell	10314903	{'name': 'pit cells', 'full_name': 'central cells', 'paper_synonyms': 'central cells', 'tissue_context': 'left–right organizer (LRO); embryonic node'}	NO MATCH found		FALSE
pit	CL:0000352	epiblast cell	10314903	{'name': 'pit', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	NO MATCH found		FALSE
bronchoalveolar macrophage	CL:1001603	lung macrophage	10388518	{'name': 'bronchoalveolar macrophage', 'full_name': 'bronchoalveolar macrophage', 'paper_synonyms': 'alveolar macrophage', 'tissue_context': 'bronchial wash (BW); bronchoalveolar lavage (BAL)'}	CL:0000583	alveolar macrophage	FALSE
alveolar type 1	CL:0002062	pulmonary alveolar type 1 cell	10629677	{'name': 'alveolar type 1', 'full_name': 'alveolar type 1', 'paper_synonyms': None, 'tissue_context': 'mouse lung'}	CL:0002062	pulmonary alveolar type 1 cell	TRUE
alveolar type 2 cell	CL:0002063	pulmonary alveolar type 2 cell	10629677	{'name': 'alveolar type 2 cell', 'full_name': 'alveolar type 2 cell', 'paper_synonyms': None, 'tissue_context': 'mouse lung'}	CL:0002063	pulmonary alveolar type 2 cell	TRUE
CECs	CL:0000132	corneal endothelial cell	10249941	{'name': 'CECs', 'full_name': 'corneal endothelial cells', 'paper_synonyms': 'corneal endothelial cells', 'tissue_context': 'cornea; corneal endothelium'}	CL:0000132	corneal endothelial cell	TRUE
dSPNs	CL:4023026	direct pathway medium spiny neuron	10239471	{'name': 'dSPNs', 'full_name': 'dopamine receptor-1 expressing spiny projection neurons', 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:4023026	direct pathway medium spiny neuron	TRUE
iSPNs	CL:4023029	indirect pathway medium spiny neuron	10239471	{'name': 'iSPNs', 'full_name': 'dopamine receptor-2 expressing spiny projection neurons', 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:4023029	indirect pathway medium spiny neuron	TRUE
oligodendrocytes	CL:0000128	oligodendrocyte	10239471	{'name': 'oligodendrocytes', 'full_name': 'oligodendrocytes', 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:0000128	oligodendrocyte	TRUE
astrocytes	CL:0000127	astrocyte	10239471	{'name': 'astrocytes', 'full_name': 'astrocytes', 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:0000127	astrocyte	TRUE
interneurons	CL:0000099	interneuron	10239471	{'name': 'interneurons', 'full_name': 'interneurons', 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:0000099	interneuron	TRUE
neuronal cell	CL:0000540	neuron	10239471	{'name': 'neuronal cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:0000540	neuron	TRUE
neuronal	CL:0000540	neuron	10239471	{'name': 'neuronal', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:0000540	neuron	TRUE
progenitor	CL:0011026	progenitor cell	10239471	{'name': 'progenitor', 'full_name': 'progenitor', 'paper_synonyms': None, 'tissue_context': 'medial and lateral ganglionic eminences; striatum'}	CL:0011026	progenitor cell	TRUE
neural progenitor	CL:0011020	neural progenitor cell	10239471	{'name': 'neural progenitor', 'full_name': 'neural progenitor', 'paper_synonyms': None, 'tissue_context': 'medial and lateral ganglionic eminences; striatum'}	CL:0011020	neural progenitor cell	TRUE
SPNs	CL:1001474	medium spiny neuron	10239471	{'name': 'SPNs', 'full_name': 'spiny projection neurons', 'paper_synonyms': None, 'tissue_context': 'striatum'}	CL:1001474	medium spiny neuron	TRUE
keratinocyte	CL:0000312	keratinocyte	10669845	{'name': 'keratinocyte', 'full_name': 'keratinocyte', 'paper_synonyms': None, 'tissue_context': 'oral mucosa; oral epithelium; basal keratinocytes'}	CL:0000312	keratinocyte	TRUE
T lymphocytes	CL:0000084	T cell	10669845	{'name': 'T lymphocytes', 'full_name': 'T lymphocytes', 'paper_synonyms': None, 'tissue_context': 'oral mucosa; epithelium'}	CL:0000084	T cell	TRUE
CD8+ cells	CL:0000625	CD8-positive, alpha-beta T cell	10669845	{'name': 'CD8+ cells', 'full_name': 'CD8+ T cells', 'paper_synonyms': None, 'tissue_context': 'epithelium; around basal and suprabasal keratinocytes of OLP lesions'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ cells	CL:0000624	CD4-positive, alpha-beta T cell	10669845	{'name': 'CD4+ cells', 'full_name': 'CD4+ T cells', 'paper_synonyms': None, 'tissue_context': 'epithelium'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD4+ T helper (Th) cells	CL:0000492	CD4-positive helper T cell	10669845	{'name': 'CD4+ T helper (Th) cells', 'full_name': 'CD4+ T helper (Th) cells', 'paper_synonyms': 'Th cells', 'tissue_context': 'lesion sites of OLP patients; OLP lesions'}	CL:0000492	CD4-positive helper T cell	TRUE
CD8+ cytotoxic T lymphocytes	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	10669845	{'name': 'CD8+ cytotoxic T lymphocytes', 'full_name': 'CD8+ cytotoxic T lymphocytes', 'paper_synonyms': 'CTLs', 'tissue_context': 'near the BM in OLP lesions'}	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	TRUE
CTLs	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	10669845	{'name': 'CTLs', 'full_name': 'CD8+ cytotoxic T lymphocytes', 'paper_synonyms': 'CD8+ cytotoxic T lymphocytes', 'tissue_context': 'near the BM in OLP lesions'}	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	TRUE
liver sinusoidal endothelial cell	CL:1000398	endothelial cell of hepatic sinusoid	10562492	{'name': 'liver sinusoidal endothelial cell', 'full_name': 'liver sinusoidal endothelial cell', 'paper_synonyms': 'LSEC', 'tissue_context': 'liver'}	CL:1000398	endothelial cell of hepatic sinusoid	TRUE
LSEC	CL:1000398	endothelial cell of hepatic sinusoid	10562492	{'name': 'LSEC', 'full_name': 'liver sinusoidal endothelial cell', 'paper_synonyms': 'liver sinusoidal endothelial cell', 'tissue_context': 'liver'}	CL:1000398	endothelial cell of hepatic sinusoid	TRUE
cholangiocyte	CL:1000488	cholangiocyte	10562492	{'name': 'cholangiocyte', 'full_name': 'cholangiocyte', 'paper_synonyms': None, 'tissue_context': 'liver'}	CL:1000488	cholangiocyte	TRUE
HSC	CL:0000632	hepatic stellate cell	10562492	{'name': 'HSC', 'full_name': 'hepatic stellate cell', 'paper_synonyms': 'hepatic stellate cells', 'tissue_context': 'liver'}	CL:0000632	hepatic stellate cell	TRUE
cholangiocytes	CL:1000488	cholangiocyte	10562492	{'name': 'cholangiocytes', 'full_name': 'cholangiocyte', 'paper_synonyms': None, 'tissue_context': 'liver'}	CL:1000488	cholangiocyte	TRUE
erythrocytes	CL:0000232	erythrocyte	10050359	{'name': 'erythrocytes', 'full_name': 'erythrocytes', 'paper_synonyms': 'red blood cells; RBC', 'tissue_context': 'blood; circulation'}	CL:0000232	erythrocyte	TRUE
mesenchymal stem cell	CL:0000134	mesenchymal stem cell	10268391	{'name': 'mesenchymal stem cell', 'full_name': 'mesenchymal stem cell', 'paper_synonyms': 'mesenchymal stromal cell; MSC; MSCs', 'tissue_context': 'adipose tissue; bone marrow'}	CL:0000134	mesenchymal stem cell	TRUE
stem cell	CL:0000034	stem cell	10268391	{'name': 'stem cell', 'full_name': 'stem cell', 'paper_synonyms': 'adult stem cells; stem/progenitor cells; adult stem/progenitor cells', 'tissue_context': 'adipose tissue; bone marrow; articular cartilage tissue'}	CL:0000034	stem cell	TRUE
stem cells	CL:0000034	stem cell	10268391	{'name': 'stem cells', 'full_name': 'stem cells', 'paper_synonyms': 'adult stem cells; stem/progenitor cells; adult stem/progenitor cells', 'tissue_context': 'adipose tissue; bone marrow; articular cartilage tissue'}	CL:0000034	stem cell	TRUE
